Code,Lat,Long,Families,Population,MTN,MCI
21441,36.900575,54.541902,278,831,99.27,99.49
21442,36.907793,54.605021,257,787,98.02,99.4
21444,36.833484,54.500191,1209,4129,99.79,99.1
21445,36.938115,54.569309,183,607,81.26,100
21446,36.792225,54.539865,404,1286,100,99.54
21447,36.86136,54.624519,399,1199,100,93.24
21448,36.866059,54.484281,152,470,98.44,90.37
21449,36.925647,54.598196,127,413,96.13,100
21450,36.970982,54.583143,55,177,97.73,99.69
21490,36.799828,54.296511,408,1241,100,100
21492,36.880447,54.426135,1154,3782,100,99.85
21494,36.868729,54.395451,218,725,100,84.47
21495,36.866511,54.304523,167,486,68.47,96.82
21497,36.837829,54.301465,138,386,84.24,94.52
21498,36.578317,54.203188,28,83,0,100
21499,36.628037,54.329238,98,309,0,0
21500,36.856618,54.284962,514,1597,78.24,99.89
21502,36.858657,54.394352,1378,4557,99.42,96.14
21503,36.804813,54.324832,178,539,100,100
21504,36.793813,54.281427,297,971,100,99.56
21505,36.819035,54.379261,569,1834,91.35,73.04
21506,36.795743,54.331711,777,2437,100,100
21507,36.77746,54.273247,282,835,100,100
21508,36.755915,54.274512,293,863,100,61.29
21512,36.887892,54.371567,473,1467,96.5,99.93
21513,36.860752,54.335476,196,618,98.13,80.09
21514,36.874284,54.410831,946,3005,99.2,84.06
21515,36.799478,54.289163,727,2143,90.22,100
21516,36.813758,54.347305,106,296,93.86,99.35
21517,36.827495,54.290434,73,218,83.7,100
21518,36.829686,54.303987,215,645,78.04,85.6
21519,36.804321,54.310072,154,431,93.33,92.57
21520,36.871866,54.31752,153,495,92.3,67.17
21521,36.845429,54.33398,493,1449,99.71,100
21522,36.862428,54.367011,192,624,98.63,92.41
21523,36.893686,54.397529,138,477,96.7,88.3
21524,36.76501,54.304874,273,913,100.01,71.96
21525,36.836735,54.276555,1136,3441,96.56,97.84
21526,36.840161,54.325314,266,796,100,82.12
21527,36.889953,54.346736,799,2666,99.95,100
21528,36.784554,54.370254,22,68,21.79,33.23
21570,36.603412,54.496509,42,109,100,95.95
21571,36.710071,54.478988,730,2280,99.69,97.4
21572,36.560266,54.417262,197,583,98.28,100
21595,36.921432,54.695309,98,355,90.29,98.69
21596,36.838638,54.688304,255,763,96.69,29.67
21597,36.942158,54.644098,391,1339,80.53,100
21598,36.916694,54.636498,328,970,79.37,93.38
21601,36.913873,54.662423,479,1449,30.14,100
21602,36.886418,54.668056,50,164,91.71,100
21603,36.932282,54.633031,342,1054,72.17,97.88
21604,36.90117,54.623509,183,572,100,45.24
21605,36.883034,54.65105,976,3026,100,100
21652,37.40197,54.896373,89,369,95.03,3.96
21653,37.668105,55.191261,388,1415,0,99.29
21654,37.740283,55.244804,200,700,100,94.61
21655,37.41231,54.70862,93,371,100,100
21658,37.813653,55.468851,309,1151,0,100
21659,37.468859,54.895687,53,204,78.19,67.65
21663,37.733847,55.08807,42,145,14.37,13.14
21664,37.684158,54.822968,86,316,38.51,80.93
21665,37.419056,54.649829,456,1666,100,100
21667,37.750012,54.90644,51,174,100,77.89
21669,37.632472,54.815308,362,1451,14.64,99.39
21670,37.495105,54.804486,72,286,100,81.58
21671,37.952637,55.24916,62,238,100,96.67
21672,37.844571,55.052996,75,279,0,100
21674,37.55781,54.837864,563,2101,86.31,98.58
21675,37.526445,54.968544,351,1304,100,99.66
21676,37.752697,55.585695,396,1445,0,69.22
21677,37.692113,55.05195,67,256,0,33.95
21679,37.939623,55.177472,101,371,100,100
21680,37.747101,55.519924,98,354,0,1.19
21681,37.802424,54.988321,117,430,43,71.83
21682,37.95664,55.510507,1530,5616,94.58,97.75
21683,37.923356,55.113483,136,487,100,100
21685,37.741786,55.276399,227,862,0,100
21686,37.938938,55.47712,633,2333,95.05,97.56
21687,37.545808,55.474067,440,1689,96.79,98.54
21727,37.12332,55.147165,208,729,97.98,81.74
21728,37.136355,55.181597,89,329,100,97.21
